Region,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,TCD,Chad,BCG,56,68,57,60,62,52,58,46,30,44,56,41,41,40,46,52,49,45,45,45,39,43,43,34,34,40,59,59,38,32,24,15,8,,,,
AMR,CHL,Chile,BCG,97,93,98,98,92,91,95,95,99,98,98,95,95,95,96,98,93,95,92,92,99,97,99,97,99,99,94,97,98,97,96,96,95,92,94,96,96
WPR,CHN,China,BCG,99,99,99,99,99,99,99,99,97,94,92,86,86,85,85,85,84,84,83,83,84,79,89,92,94,97,99,98,98,85,70,64,59,34,,,
AMR,COL,Colombia,BCG,88,90,89,85,89,83,84,90,93,93,96,94,92,97,87,87,91,80,85,97,99,99,99,96,88,95,95,94,99,80,70,76,69,79,65,57,45
AFR,COM,Comoros (the),BCG,94,94,90,85,79,78,76,80,81,77,84,80,79,79,90,90,90,87,84,55,55,95,94,95,81,71,99,95,72,97,97,77,56,,,,
AFR,COG,Congo (the),BCG,85,85,95,92,92,95,95,90,93,86,84,73,85,60,51,53,50,39,34,29,51,58,61,63,75,89,90,90,88,87,86,89,80,90,91,,92
WPR,COK,Cook Islands,BCG,99,99,99,98,98,98,99,99,99,99,99,99,99,99,98,98,99,97,98,85,90,96,99,94,94,96,99,94,90,89,87,99,60,74,59,44,29
AMR,CRI,Costa Rica,BCG,89,83,80,79,78,78,77,81,90,91,87,88,90,87,91,87,92,89,87,82,92,99,94,98,94,81,92,89,86,83,79,82,86,83,81,81,80
AFR,CIV,Côte d'Ivoire,BCG,95,79,84,90,93,74,91,95,91,94,77,85,71,78,79,80,80,74,71,73,68,69,75,74,70,65,62,47,52,53,41,29,17,,,,
EUR,HRV,Croatia,BCG,99,98,98,99,99,99,98,99,99,99,99,98,98,98,99,97,98,96,97,98,99,99,98,98,92,,,,,,,,,,,,
AMR,CUB,Cuba,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,98,98,98,98,99,96,98,98,97,96,97,97,99
EUR,CZE,Czech Republic (the),BCG,,,,,,,,98,99,99,99,99,99,98,97,98,98,98,98,97,96,95,95,98,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),BCG,97,97,98,98,98,98,98,98,97,96,96,94,95,88,96,82,78,73,69,64,73,82,90,99,99,99,99,99,98,69,53,51,49,52,51,52,50
AFR,COD,Democratic Republic of the Congo (the),BCG,80,74,78,83,83,66,85,85,78,80,72,72,68,61,50,43,57,30,25,25,25,34,46,43,32,21,65,55,59,57,51,57,62,65,62,61,57
EUR,DNK,Denmark,BCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,BCG,90,92,99,86,87,89,90,90,90,90,88,80,71,63,52,38,34,26,35,43,51,51,51,51,51,66,81,80,87,42,38,37,36,36,5,,
AMR,DMA,Dominica,BCG,98,98,98,97,98,98,99,99,98,90,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,87,90,84,99,48,57,65
AMR,DOM,Dominican Republic (the),BCG,99,99,99,99,99,99,98,96,92,92,95,96,97,95,97,98,90,99,86,88,79,90,86,82,78,74,70,63,60,57,54,51,43,41,38,34,29
AMR,ECU,Ecuador,BCG,84,88,89,90,94,98,98,99,98,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,82,89,91,92,85,94,99,99,85,99,82,76
EMR,EGY,Egypt,BCG,96,96,96,98,95,98,98,98,98,98,99,98,98,98,98,98,98,98,99,98,95,93,95,95,92,92,89,83,80,72,77,80,53,53,50,50,50
AMR,SLV,El Salvador,BCG,99,99,85,90,90,95,96,99,99,99,93,84,94,91,92,92,99,99,99,95,98,99,82,79,62,67,75,62,56,55,51,50,22,48,46,47,56
AFR,GNQ,Equatorial Guinea,BCG,48,48,56,64,66,66,71,71,71,72,72,72,72,72,72,73,73,73,99,99,99,99,99,98,97,95,94,49,49,40,30,28,,,,,
AFR,ERI,Eritrea,BCG,97,97,97,97,97,98,94,95,98,99,99,99,99,97,94,91,89,98,96,83,75,68,60,40,,,,,,,,,,,,,
EUR,EST,Estonia,BCG,95,95,95,96,97,99,97,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,,,,,,,,,,,,,
AFR,ETH,Ethiopia,BCG,75,75,75,71,76,80,76,74,71,69,66,64,60,59,58,57,56,54,54,54,57,61,65,36,26,29,64,44,27,28,13,11,8,7,6,5,
WPR,FJI,Fiji,BCG,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,97,96,96,95,95,99,99,99,99,98,99,99,99,99,98,96,99,94,99,98,98,95
EUR,FIN,Finland,BCG,,,,,,,,,,,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,91,91,99,90,80,83,86,90,90,90,90
EUR,FRA,France,BCG,,,,,,,,,,78,83,81,85,84,85,84,83,83,81,82,82,83,81,79,77,78,74,75,75,76,84,82,96,81,81,80,80
AFR,GAB,Gabon,BCG,94,98,91,92,97,94,94,93,93,92,92,92,91,91,90,90,89,89,90,90,90,90,94,97,97,97,96,96,95,95,90,80,77,80,82,,
AFR,GMB,Gambia (the),BCG,98,98,96,98,98,90,92,94,95,97,97,99,99,99,99,99,99,98,99,99,99,99,99,98,97,97,98,98,96,97,96,92,98,96,91,96,85
EUR,GEO,Georgia,BCG,98,96,96,95,95,96,96,95,95,96,95,95,91,87,91,94,95,95,94,76,70,70,30,30,67,,,,,,,,,,,,
AFR,GHA,Ghana,BCG,94,97,99,98,98,98,99,99,99,99,99,99,92,92,92,94,99,98,90,88,87,87,86,85,83,77,71,70,70,69,55,41,41,31,,,
EUR,GRC,Greece,BCG,,,,,,,,,,,,,,,,,,,,,,,50,65,76,90,86,82,77,73,69,65,60,56,76,95,95
AMR,GTM,Guatemala,BCG,87,89,91,88,94,91,99,93,99,88,96,96,98,97,96,93,95,93,89,88,76,79,78,69,57,43,62,21,41,34,32,30,33,24,28,29,36
AFR,GIN,Guinea,BCG,72,72,72,82,74,82,93,91,87,84,81,80,79,80,80,81,81,82,76,76,77,78,75,70,65,60,50,31,31,27,23,18,14,10,7,4,
AFR,GNB,Guinea-Bissau,BCG,94,94,94,94,94,92,93,94,93,92,90,89,87,84,82,79,77,74,78,82,68,92,95,96,99,94,90,95,89,82,69,56,42,,,,
AMR,GUY,Guyana,BCG,95,99,99,98,98,97,98,98,96,97,96,96,94,95,91,95,93,91,92,94,88,93,94,94,88,89,85,76,64,69,76,98,49,76,78,73,68
AMR,HTI,Haiti,BCG,72,81,76,83,83,83,82,80,78,78,75,75,74,74,73,72,72,71,72,72,72,74,73,73,73,72,72,69,66,72,76,71,71,62,58,60,
AMR,HND,Honduras,BCG,99,99,99,99,99,99,99,99,99,99,97,98,98,91,94,99,99,93,96,99,99,97,99,95,92,99,70,80,64,66,72,65,41,55,50,41,25
EUR,HUN,Hungary,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
SEAR,IND,India,BCG,89,87,89,91,90,90,89,88,86,87,86,86,80,77,75,75,74,74,73,72,79,81,71,69,65,62,66,28,23,23,9,8,7,6,4,4,
SEAR,IDN,Indonesia,BCG,81,80,82,86,88,98,88,78,80,83,88,86,85,83,82,80,81,83,84,85,87,77,77,78,76,75,74,72,70,68,66,65,56,58,60,55,61
EMR,IRN,Iran (Islamic Republic of),BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,91,99,99,99,91,96,96,99,99,99,91,95,85,88,56,56,79,10,10,10,6,7
EMR,IRQ,Iraq,BCG,94,84,95,97,95,92,90,92,87,92,89,92,94,94,94,93,93,93,94,95,96,97,97,96,96,96,96,96,98,99,98,94,91,87,83,80,76
EUR,IRL,Ireland,BCG,18,77,74,76,42,41,30,30,34,33,31,31,30,90,90,89,89,89,89,89,88,87,86,86,85,84,84,83,82,81,81,80,75,75,,,
EUR,ISR,Israel,BCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,70,75
EUR,ITA,Italy,BCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,BCG,96,99,90,93,95,95,95,94,92,87,90,95,90,88,90,96,94,89,85,97,98,98,99,99,85,94,98,99,96,92,73,51,50,56,27,32,38
WPR,JPN,Japan,BCG,84,84,93,93,95,94,99,94,90,94,,,,,,,,,,,,,,91,93,94,85,85,85,85,85,85,85,91,96,85,
EMR,JOR,Jordan,BCG,99,98,95,98,96,95,95,95,95,90,95,89,58,67,29,,,,,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,BCG,95,95,95,95,95,96,96,96,97,99,99,69,65,99,99,95,98,99,99,99,93,90,86,93,90,,,,,,,,,,,,
AFR,KEN,Kenya,BCG,99,87,94,92,97,99,99,99,98,92,92,85,87,87,91,94,91,88,99,96,96,97,97,96,96,94,92,90,90,86,80,82,76,,,,
WPR,KIR,Kiribati,BCG,79,79,72,86,95,86,87,76,83,90,91,93,94,91,88,85,80,70,97,99,99,47,60,87,79,94,93,99,98,68,65,62,54,72,91,68,66
EMR,KWT,Kuwait,BCG,99,99,99,99,97,99,98,99,99,94,84,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,BCG,97,97,97,98,98,98,98,98,99,98,99,96,98,99,99,99,96,99,94,97,99,96,97,95,97,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),BCG,78,83,82,82,81,77,72,67,68,56,61,65,60,65,65,60,69,63,56,58,61,62,69,42,34,34,26,29,27,15,10,8,7,7,6,4,
EUR,LVA,Latvia,BCG,96,94,92,94,94,93,92,96,95,95,95,97,98,97,99,99,99,99,99,99,99,99,99,91,93,,,,,,,,,,,,
AFR,LSO,Lesotho,BCG,98,98,98,98,93,87,90,92,95,95,95,96,96,96,90,83,88,92,93,94,95,96,95,93,92,90,89,87,86,84,88,91,89,87,84,81,81
AFR,LBR,Liberia,BCG,97,74,73,87,85,85,73,87,85,77,77,76,60,64,69,73,78,82,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,97,97,97,99,99,99,99,95,90,90,92,95,92,87,85,84,89,78,88
EUR,LTU,Lithuania,BCG,98,97,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,96,98,94,,,,,,,,,,,,
AFR,MDG,Madagascar,BCG,70,70,75,77,78,82,76,78,83,94,95,92,85,77,73,73,72,72,70,67,67,72,77,77,77,75,67,72,70,54,49,31,28,31,22,26,21
AFR,MWI,Malawi,BCG,86,90,97,96,99,99,97,95,97,95,99,99,97,91,78,93,83,87,99,99,95,97,94,96,98,96,97,96,90,92,87,87,74,81,87,86,
WPR,MYS,Malaysia,BCG,98,99,99,99,99,99,99,99,99,99,98,98,99,99,98,98,99,99,98,98,98,98,97,98,99,99,99,99,99,98,96,95,95,94,95,91,94
SEAR,MDV,Maldives,BCG,99,99,99,99,99,98,97,99,98,98,99,97,98,98,99,98,99,98,99,99,99,99,98,89,99,99,99,98,98,62,54,45,36,27,20,8,7
AFR,MLI,Mali,BCG,92,92,92,92,89,84,82,84,86,86,86,83,76,74,82,75,69,78,79,84,80,76,75,74,70,68,82,85,64,51,37,33,30,26,23,19,
EUR,MLT,Malta,BCG,,,,,,,,,,,,,,,,,,,,,96,92,77,77,79,87,77,79,67,79,72,65,63,63,,,
WPR,MHL,Marshall Islands (the),BCG,94,99,89,93,97,98,99,98,95,92,92,93,91,93,90,99,89,81,81,94,98,71,96,88,72,71,49,,,,,,,,,,
AFR,MRT,Mauritania,BCG,85,85,98,95,95,86,85,81,89,92,86,91,94,96,99,95,78,75,77,78,79,80,82,84,81,80,79,79,79,77,73,74,70,66,61,57,
AFR,MUS,Mauritius,BCG,98,98,97,99,99,99,99,95,96,98,97,99,99,99,87,89,88,86,87,87,86,86,87,87,87,87,87,88,88,87,88,87,88,88,89,87,89
AMR,MEX,Mexico,BCG,99,98,96,91,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,93,94,89,67,80,72,71,54,16,47,52,50,41,48
WPR,FSM,Micronesia (Federated States of),BCG,85,76,73,70,78,75,70,75,79,82,55,70,62,64,52,39,24,39,52,48,49,50,50,50,50,50,12,8,,,,,,,,,
EUR,MCO,Monaco,BCG,89,89,89,89,89,89,89,89,89,89,89,89,89,89,92,94,97,99,99,95,93,90,90,94,98,99,99,99,99,,,,,,,,
WPR,MNG,Mongolia,BCG,99,99,99,99,99,99,99,98,98,99,98,99,98,98,98,98,97,97,95,96,90,94,90,84,83,85,81,92,78,60,54,52,52,52,52,53,51
EUR,MNE,Montenegro,BCG,88,88,91,93,95,97,95,95,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,BCG,99,99,99,99,99,99,99,99,99,96,95,95,95,92,92,93,97,93,90,94,96,96,97,99,97,96,96,91,92,92,83,77,70,62,50,,
AFR,MOZ,Mozambique,BCG,95,95,94,93,91,91,90,90,90,90,90,90,90,90,87,86,84,83,81,80,78,78,78,66,64,63,59,53,49,52,45,47,49,59,56,46,
SEAR,MMR,Myanmar,BCG,88,94,92,86,87,93,93,93,88,89,85,76,85,80,82,75,88,90,95,94,92,90,83,80,77,69,95,66,60,54,28,45,36,28,20,15,9
AFR,NAM,Namibia,BCG,94,94,97,94,90,89,88,85,88,95,88,95,94,92,81,69,77,80,85,65,79,92,99,92,92,91,,,,,,,,,,,
WPR,NRU,Nauru,BCG,99,99,99,99,99,99,99,99,99,99,99,90,93,97,99,99,93,95,89,78,78,78,81,84,86,90,93,96,95,93,87,81,81,,,,
SEAR,NPL,Nepal,BCG,93,94,99,97,96,97,94,94,87,89,93,87,85,91,85,84,84,93,81,86,81,76,76,75,75,74,74,70,66,62,67,67,58,53,59,32,22
AMR,NIC,Nicaragua,BCG,98,98,98,98,98,98,98,98,98,98,98,88,88,94,93,97,96,99,92,95,94,93,92,91,91,74,84,94,91,94,99,99,98,89,83,66,34
AFR,NER,Niger (the),BCG,77,77,76,37,85,53,81,86,78,73,69,64,61,58,56,53,50,47,48,48,53,53,32,34,38,38,50,32,27,28,28,28,28,28,28,28,
AFR,NGA,Nigeria,BCG,64,64,64,57,51,57,62,76,65,53,52,49,45,42,38,41,44,46,49,29,43,42,55,52,57,60,80,61,54,47,40,28,16,19,21,23,
WPR,NIU,Niue,BCG,99,99,99,99,99,99,99,99,99,98,99,96,95,99,99,99,99,99,99,99,99,92,99,99,99,99,99,99,99,99,71,41,41,60,80,99,85
EMR,OMN,Oman,BCG,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98,98,96,96,96,96,96,95,96,94,96,95,96,97,95,93,79,77,77,54,51
EMR,PAK,Pakistan,BCG,85,85,85,85,85,84,90,81,83,84,85,81,80,82,82,78,74,70,66,62,59,73,75,77,80,80,80,80,77,72,69,62,55,35,12,11,6
AMR,PAN,Panama,BCG,99,99,99,95,98,99,99,99,98,97,98,99,99,99,99,99,99,99,99,99,99,99,95,92,84,87,97,87,92,90,92,94,89,81,83,98,99
WPR,PNG,Papua New Guinea,BCG,89,82,98,99,99,99,96,96,85,84,92,90,89,89,84,81,88,82,86,88,80,91,85,94,82,89,92,82,80,74,76,66,66,58,50,64,62
AMR,PRY,Paraguay,BCG,99,99,95,90,93,94,92,91,94,98,99,98,97,88,83,86,85,85,84,83,83,82,82,80,84,78,75,66,56,66,51,68,80,55,47,42,31
AMR,PER,Peru,BCG,90,91,94,95,95,91,95,97,97,96,96,95,95,94,92,87,93,97,96,98,99,94,91,87,85,78,83,62,70,61,54,63,64,61,65,63,57
WPR,PHL,Philippines (the),BCG,76,80,79,87,89,91,83,90,93,90,91,91,91,86,85,92,92,92,92,91,86,82,86,91,94,97,96,96,95,90,84,76,71,69,66,61,56
EUR,POL,Poland,BCG,94,94,92,93,94,94,93,94,93,93,94,94,94,93,95,95,96,96,96,96,97,98,94,95,95,94,97,95,95,95,95,95,95,95,93,93,93
EUR,PRT,Portugal,BCG,32,32,99,99,99,97,96,98,98,98,99,89,83,81,81,82,82,85,88,87,87,94,87,91,92,89,88,87,86,78,71,82,79,76,76,74,
EMR,QAT,Qatar,BCG,97,97,90,98,97,97,99,98,97,96,99,99,99,99,99,99,99,99,99,99,98,96,96,99,99,98,97,79,85,85,84,76,73,69,44,28,4
WPR,KOR,Republic of Korea (the),BCG,97,98,99,99,99,99,96,96,96,96,98,97,93,87,89,81,73,74,75,91,92,93,93,88,83,77,72,70,57,54,47,47,47,45,44,42,
EUR,MDA,Republic of Moldova (the),BCG,97,97,97,96,99,98,98,96,98,98,99,97,99,99,99,99,99,99,98,97,97,95,94,92,92,,,,,,,,,,,,
EUR,ROU,Romania,BCG,84,98,98,98,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,90,90,93,95,93,,,,,,
EUR,RUS,Russian Federation (the),BCG,96,96,96,96,96,95,96,96,96,97,97,97,96,97,97,96,96,96,95,94,93,92,92,87,86,,,,,,,,,,,,
AFR,RWA,Rwanda,BCG,99,99,99,99,99,99,99,99,93,89,98,91,86,88,81,74,81,94,95,96,93,89,32,82,94,94,92,92,91,92,92,83,66,49,50,51,
AMR,KNA,Saint Kitts and Nevis,BCG,96,95,99,94,95,99,91,93,95,97,99,99,89,99,99,95,99,99,99,99,96,94,91,88,86,83,80,78,75,,,,,,,,
AMR,LCA,Saint Lucia,BCG,96,99,89,99,99,99,97,97,99,99,94,97,99,95,95,99,91,99,85,99,89,98,99,95,99,95,94,99,85,89,73,99,80,69,60,44,27
AMR,VCT,Saint Vincent and the Grenadines,BCG,99,99,98,96,97,99,90,80,87,93,99,95,99,87,91,99,99,99,99,98,99,99,99,99,99,99,99,99,95,90,76,84,32,,,,
WPR,WSM,Samoa,BCG,76,83,89,89,90,95,87,92,98,91,84,86,93,73,98,98,97,99,99,99,98,96,97,94,91,95,97,80,97,98,97,97,97,99,96,84,72
AFR,STP,Sao Tome and Principe,BCG,92,97,95,97,99,99,99,99,99,98,98,98,99,99,96,92,81,81,80,70,85,95,86,77,83,99,99,94,88,88,99,75,82,86,90,95,
EMR,SAU,Saudi Arabia,BCG,98,98,98,99,99,98,98,98,98,96,95,96,95,94,98,94,94,92,92,91,91,94,94,93,91,85,90,96,93,91,90,89,88,72,56,49,33
AFR,SEN,Senegal,BCG,97,95,95,97,97,97,97,97,98,96,94,92,95,77,70,89,89,90,81,81,81,91,80,80,80,80,90,90,91,92,92,,,,,,
EUR,SRB,Serbia,BCG,98,98,98,97,98,99,99,98,99,98,99,98,97,94,91,88,85,82,89,96,97,97,97,97,97,,,,,,,,,,,,
AFR,SYC,Seychelles,BCG,99,99,98,99,99,99,99,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,94,94,94,94,92,95,98,83,67,
AFR,SLE,Sierra Leone,BCG,92,90,90,99,98,97,97,96,91,82,83,85,86,89,76,63,74,73,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,BCG,99,99,99,99,99,99,99,99,99,99,98,98,99,99,98,98,99,99,98,98,98,98,97,98,99,99,99,99,99,98,99,93,93,83,87,83,85
EUR,SVK,Slovakia,BCG,,,,,90,97,98,97,98,98,98,98,98,98,98,93,94,96,93,95,96,92,98,,,,,,,,,,,,,,
EUR,SVN,Slovenia,BCG,,,,,,,,,,,,,96,97,97,98,98,96,98,97,98,99,99,99,93,,,,,,,,,,,,
WPR,SLB,Solomon Islands,BCG,98,97,99,99,99,99,99,99,99,99,99,96,99,93,87,94,99,99,74,73,96,77,76,66,75,83,87,82,79,66,47,50,61,39,36,43,65
EMR,SOM,Somalia,BCG,37,37,37,37,37,39,41,29,36,38,40,50,50,65,60,70,69,71,54,37,43,46,48,42,37,31,31,31,39,33,28,30,17,7,8,3,6
AFR,ZAF,South Africa,BCG,74,67,77,73,73,72,70,73,77,74,75,73,77,81,84,86,89,92,94,97,95,95,95,95,66,63,57,73,55,64,61,70,67,71,,,
AFR,SSD,South Sudan,BCG,37,43,46,52,62,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,90,96,88,90,86,88,87,88,84,90,81,76,79,71,67,64,65,58,61
EMR,SDN,Sudan (the),BCG,96,88,95,93,92,92,90,82,88,83,77,72,66,69,65,67,56,66,61,70,71,63,60,66,68,78,77,75,54,43,22,12,8,5,3,3,2
AFR,SWZ,Swaziland,BCG,97,98,99,99,99,98,98,97,96,95,94,93,92,91,90,89,88,87,86,85,85,99,99,98,97,71,96,96,95,94,91,79,73,72,66,59,
EUR,SWE,Sweden,BCG,26,26,26,26,24,26,27,24,23,23,21,20,18,17,16,16,16,16,16,15,14,14,13,13,13,12,13,13,14,14,14,16,16,10,6,4,3
EMR,SYR,Syrian Arab Republic (the),BCG,66,66,81,84,82,90,97,95,93,93,91,90,90,90,90,91,91,91,91,91,91,91,91,91,92,95,92,98,87,71,98,53,49,45,37,36,35
EUR,TJK,Tajikistan,BCG,98,98,98,98,97,97,98,82,89,83,93,97,95,98,97,96,98,98,98,99,99,96,96,69,88,,,,,,,,,,,,
SEAR,THA,Thailand,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,98,99,99,99,99,99,98,91,93,83,80,76,75,73,71,68
EUR,MKD,The former Yugoslav Republic of Macedonia,BCG,99,94,99,97,95,94,96,98,94,95,92,99,94,95,91,97,97,97,90,97,98,95,90,95,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,BCG,85,84,84,86,86,79,79,74,85,74,74,70,72,72,75,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,BCG,79,86,79,97,97,97,97,91,92,91,96,96,91,79,81,83,84,81,70,76,79,83,86,89,92,96,99,94,91,95,53,54,55,51,48,44,
WPR,TON,Tonga,BCG,80,80,89,89,84,89,89,90,91,92,93,93,95,95,92,88,97,99,99,99,99,99,99,97,96,99,99,97,95,93,98,99,78,83,98,86,99
EMR,TUN,Tunisia,BCG,95,97,95,97,99,98,98,98,99,99,99,98,97,93,91,91,95,94,93,97,97,97,97,97,97,96,96,96,95,93,92,90,89,88,87,,
EUR,TUR,Turkey,BCG,96,96,95,96,96,96,97,96,96,94,88,88,85,88,89,95,96,93,91,89,89,90,91,90,89,91,93,95,97,87,82,76,71,65,47,42,
EUR,TKM,Turkmenistan,BCG,98,99,99,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,93,93,97,94,97,,,,,,,,,,,,
WPR,TUV,Tuvalu,BCG,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,88,90,87,97,95,96,98,95,86,92,90,90,99,78,89,99
